T          V        N   RS       MinV       MaxV
1355292938 1.802450 004 7.209400 1.802250 1.802450
1355292981 1.802350 004 7.209400 1.802250 1.802450
1355293185 1.802150 001 1.802150 1.802150 1.802150
1355293186 1.801950 002 3.604100 1.801950 1.802150
1355293186 1.802150 003 5.406250 1.801950 1.802150
1355293190 1.802050 004 7.208300 1.801950 1.802150
1355293221 1.801750 005 9.010050 1.801750 1.802150
1355293250 1.801450 002 3.603200 1.801450 1.801750
1355293281 1.801350 002 3.602800 1.801350 1.801450
1355293281 1.801250 003 5.404050 1.801250 1.801450
1355293321 1.801350 003 5.403950 1.801250 1.801350
1355293343 1.801250 002 3.602600 1.801250 1.801350
1355293379 1.800950 003 5.403550 1.800950 1.801350
1355293379 1.801050 004 7.204600 1.800950 1.801350
1355293380 1.801150 005 9.005750 1.800950 1.801350
1355293401 1.800950 005 9.005350 1.800950 1.801250
1355293406 1.801250 005 9.005350 1.800950 1.801250
1355293413 1.800750 006 10.806100 1.800750 1.801250
1355293429 1.800650 007 12.606750 1.800650 1.801250
1355293437 1.800750 008 14.407500 1.800650 1.801250
1355293440 1.800850 006 10.805200 1.800650 1.801250
1355293440 1.800650 007 12.605850 1.800650 1.801250
1355293451 1.800750 008 14.406600 1.800650 1.801250
1355293453 1.800650 009 16.207250 1.800650 1.801250
1355293454 1.800750 010 18.008000 1.800650 1.801250
1355293457 1.800550 011 19.808550 1.800550 1.801250
1355293485 1.800650 009 16.206250 1.800550 1.800850
1355293532 1.800550 002 3.601200 1.800550 1.800650
1355293564 1.800450 002 3.601000 1.800450 1.800550
1355293574 1.800550 003 5.401550 1.800450 1.800550
1355293583 1.800350 004 7.201900 1.800350 1.800550
1355293649 1.800250 001 1.800250 1.800250 1.800250
1355293676 1.800650 002 3.600900 1.800250 1.800650
1355293693 1.800750 003 5.401650 1.800250 1.800750
1355293696 1.800650 004 7.202300 1.800250 1.800750
1355293823 1.800850 001 1.800850 1.800850 1.800850
1355293858 1.801050 002 3.601900 1.800850 1.801050
1355293858 1.800950 003 5.402850 1.800850 1.801050
1355293859 1.800850 004 7.203700 1.800850 1.801050
1355293868 1.800650 005 9.004350 1.800650 1.801050
1355293903 1.800750 005 9.004250 1.800650 1.801050
1355294036 1.800950 001 1.800950 1.800950 1.800950
1355294165 1.801050 001 1.801050 1.801050 1.801050
1355294235 1.801350 001 1.801350 1.801350 1.801350
1355294255 1.801450 002 3.602800 1.801350 1.801450
1355294259 1.801350 003 5.404150 1.801350 1.801450
1355294273 1.801250 004 7.205400 1.801250 1.801450
1355294287 1.801350 005 9.006750 1.801250 1.801450
1355294294 1.801450 006 10.808200 1.801250 1.801450
1355294295 1.801350 006 10.808200 1.801250 1.801450
1355294377 1.801450 001 1.801450 1.801450 1.801450
1355294487 1.801350 001 1.801350 1.801350 1.801350
1355294607 1.801150 001 1.801150 1.801150 1.801150
1355294624 1.801250 002 3.602400 1.801150 1.801250
1355294736 1.801050 001 1.801050 1.801050 1.801050
1355294737 1.801250 002 3.602300 1.801050 1.801250
1355294767 1.801150 003 5.403450 1.801050 1.801250
1355294815 1.801250 002 3.602400 1.801150 1.801250
1355294834 1.801550 002 3.602800 1.801250 1.801550
1355294847 1.801450 003 5.404250 1.801250 1.801550
1355295043 1.801550 001 1.801550 1.801550 1.801550
1355295067 1.801450 002 3.603000 1.801450 1.801550
1355295150 1.801150 001 1.801150 1.801150 1.801150
1355295185 1.800950 002 3.602100 1.800950 1.801150
1355295302 1.801250 001 1.801250 1.801250 1.801250
1355295303 1.801050 002 3.602300 1.801050 1.801250
1355295304 1.801150 003 5.403450 1.801050 1.801250
1355295325 1.801050 004 7.204500 1.801050 1.801250
1355295379 1.801150 002 3.602200 1.801050 1.801150
1355295393 1.801250 002 3.602400 1.801150 1.801250
1355295546 1.800950 001 1.800950 1.800950 1.800950
1355295576 1.801250 002 3.602200 1.800950 1.801250
1355295577 1.801050 003 5.403250 1.800950 1.801250
1355295631 1.800450 003 5.402750 1.800450 1.801250
1355295647 1.799950 002 3.600400 1.799950 1.800450
1355295648 1.800150 003 5.400550 1.799950 1.800450
1355295685 1.799950 004 7.200500 1.799950 1.800450
1355295703 1.800050 004 7.200100 1.799950 1.800150
1355295719 1.800150 003 5.400150 1.799950 1.800150
1355295730 1.800050 004 7.200200 1.799950 1.800150
1355295736 1.800150 005 9.000350 1.799950 1.800150
1355295748 1.800350 005 9.000750 1.800050 1.800350
1355295756 1.800250 006 10.801000 1.800050 1.800350
1355295764 1.800350 006 10.801300 1.800050 1.800350
